modeID,  S RMS(nm),  S MAX(nm), F/puck RMS(N), F/puck MAX(N), slope RMS (nm/100mm), slope MAX (nm/100mm)
  1,        500,         1144,           2,           6,                 44,                109
  2,        500,         1152,           2,           6,                 44,                103
  3,        500,          719,           4,           9,                 56,                120
  4,        500,         1253,          11,          34,                 59,                177
  5,        500,         1214,          10,          27,                 58,                174
  6,        500,         1113,          16,          48,                 77,                197
  7,        500,         1090,          17,          48,                 75,                219
  8,        500,         1307,          31,         108,                 72,                240
  9,        500,         1284,          29,          64,                 74,                213
 10,        500,         1093,          43,         119,                 92,                279
 11,        500,         1100,          45,         107,                 95,                271
 12,        302,          877,          41,         147,                 52,                181
 13,        319,          871,          40,         147,                 56,                184
 14,        500,          618,          47,          52,                 98,                318
 15,        174,          497,          44,         147,                 35,                130
 16,        300,          835,          66,         147,                 60,                223
 17,        323,          721,          58,         147,                 72,                197
 18,        412,          911,          70,         147,                 90,                251
 19,        281,          876,          53,         147,                 67,                247
 20,        299,          875,          59,         147,                 69,                229
 21,        109,          308,          43,         147,                 25,                 95
 22,        101,          293,          38,         147,                 23,                 89
 23,        166,          371,          50,         147,                 42,                120
 24,        251,          559,          76,         147,                 64,                199
 25,        174,          497,          58,         147,                 46,                139
 26,        230,          563,          79,         147,                 63,                219
 27,        140,          521,          50,         147,                 39,                171
 28,         68,          196,          39,         147,                 17,                 70
 29,         85,          243,          49,         147,                 22,                 84
 30,        116,          267,          52,         147,                 33,                103
 31,        112,          252,          54,         147,                 32,                 92
 32,         51,          152,          44,         147,                 14,                 53
 33,        116,          314,          62,         147,                 36,                128
 34,        132,          341,          69,         147,                 40,                118
 35,         76,          254,          48,         147,                 24,                 88
 36,         80,          269,          52,         147,                 23,                 94
 37,         89,          298,          49,         147,                 28,                110
 38,         87,          200,          61,         147,                 28,                 82
 39,        113,          259,          74,         147,                 36,                118
 40,         52,          164,          54,         147,                 16,                 69
 41,         40,          130,          45,         147,                 12,                 57
 42,         52,          136,          42,         147,                 17,                 62
 43,        100,          260,          76,         147,                 34,                123
 44,         74,          239,          58,         147,                 26,                109
 45,         67,          239,          56,         147,                 24,                 85
 46,         52,          216,          43,         147,                 18,                 90
